company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap,revenue_bin,employees_bin,Cluster,PCA1,PCA2
Walmart,1,0.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,16,Bentonville,1,0,0,0,1,1.0,C. Douglas McMillon,https://www.stock.walmart.com,WMT,352037.0,High,Large,2,0.7423910177114694,0.006457016135913138
Amazon,2,0.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,16,Seattle,44,0,0,0,1,2.0,Andrew R. Jassy,www.amazon.com,AMZN,1202717.0,High,Large,2,0.7423910177114694,0.006457016135913138
Apple,3,0.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,17,Cupertino,3,0,0,0,1,3.0,Timothy D. Cook,www.apple.com,AAPL,2443962.0,High,Large,2,0.7423910177114694,0.006457016135913138
CVS Health,4,0.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,9,Woonsocket,37,0,0,1,1,4.0,Karen Lynch,https://www.cvshealth.com,CVS,125204.0,High,Large,2,0.7423910177114694,0.006457016135913138
UnitedHealth Group,5,0.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,9,Minnetonka,22,0,0,0,1,5.0,Andrew P. Witty,www.unitedhealthgroup.com,UNH,500468.0,High,Large,2,0.7423910177114694,0.006457016135913138
Exxon Mobil,6,4.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,4,Irving,40,0,0,0,1,10.0,Darren W. Woods,www.exxonmobil.com,XOM,371841.0,High,Large,2,0.7423910177114694,0.006457016135913138
Berkshire Hathaway,7,-1.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,6,Omaha,27,0,0,0,1,6.0,Warren E. Buffett,www.berkshirehathaway.com,BRKA,625468.0,High,Large,2,0.7423910177114694,0.006457016135913138
Alphabet,8,1.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,17,Mountain View,3,0,0,0,1,9.0,Sundar Pichai,https://www.abc.xyz,GOOGL,1309359.0,High,Large,2,0.7423910177114694,0.006457016135913138
McKesson,9,-2.0,-0.2247123121494677,-0.19900988005498124,-0.16708931456666024,9,Irving,40,0,0,0,0,7.0,Brian S. Tyler,www.mckesson.com,MCK,47377.0,High,Large,2,0.34807078438121897,0.5542431420795693
AmerisourceBergen,10,-2.0,-0.2247123121494677,-0.19562676472560253,-0.1685851799881926,9,Conshohocken,35,0,0,0,1,8.0,Steven H. Collis,www.amerisourcebergen.com,ABC,29972.0,High,Medium,2,0.4921858497948546,0.04988177347313903
Costco Wholesale,11,1.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,16,Issaquah,44,0,0,0,1,12.0,W. Craig Jelinek,www.costco.com,COST,230443.0,High,Large,2,0.7423910177114694,0.006457016135913138
Cigna,12,1.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,9,Bloomfield,5,0,0,0,1,13.0,David Cordani,https://www.cigna.com,CI,88459.0,High,Large,2,0.7423910177114694,0.006457016135913138
AT&T,13,-2.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,18,Dallas,40,0,0,0,1,11.0,John T. Stankey,www.att.com,T,148907.0,High,Large,2,0.7423910177114694,0.006457016135913138
Microsoft,14,1.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,17,Redmond,44,0,0,0,1,15.0,Satya Nadella,www.microsoft.com,MSFT,1941033.0,High,Large,2,0.7423910177114694,0.006457016135913138
Cardinal Health,15,-1.0,-0.2247123121494677,-0.19657939240781297,-0.16812876554203388,9,Dublin,32,0,0,0,1,14.0,Jason Hollar,www.cardinalhealth.com,CAH,15169.0,High,Large,2,0.45408796493787773,0.1956108905933421
Chevron,16,11.0,-0.2247123121494677,-0.1936651557266274,-0.16841169302645512,4,San Ramon,3,0,0,0,1,27.0,Michael K. Wirth,www.chevron.com,CVX,284132.0,High,Large,2,0.6491420237282385,-0.1328848005750477
Home Depot,17,1.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,16,Atlanta,9,0,0,0,1,18.0,Edward P. Decker,www.homedepot.com,HD,308152.0,High,Large,2,0.7423910177114694,0.006457016135913138
Walgreens Boots Alliance,18,-2.0,-0.2247123121494677,-0.1945990672335764,-0.16708931456666024,7,Deerfield,13,0,0,1,1,16.0,Roz Brewer,www.walgreensbootsalliance.com,WBA,33360.0,High,Large,2,0.6734893904794883,0.10217453773975659
Marathon Petroleum,19,13.0,-0.2247123121494677,-0.1936651557266274,-0.1700760313356863,4,Findlay,32,0,0,0,1,32.0,Michael J. Hennigan,www.marathonpetroleum.com,MPC,47526.0,High,Small,0,0.5317793490461082,-0.3082596502726903
Elevance Health,20,3.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,9,Indianapolis,14,0,0,1,1,23.0,Gail K. Boudreaux,www.elevancehealth.com,ELV,119923.0,High,Large,2,0.7423910177114694,0.006457016135913138
Kroger,21,-4.0,-0.2247123121494677,-0.1955087246284743,-0.16708931456666024,7,Cincinnati,32,0,0,0,1,17.0,W. Rodney McMullen,www.thekrogerco.com,KR,33846.0,High,Large,2,0.6063771702469433,0.19540623121431774
Ford Motor,22,-1.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,15,Dearborn,21,0,0,0,1,21.0,James D. Farley Jr.,www.ford.com,F,50609.0,High,Large,2,0.7423910177114694,0.006457016135913138
Verizon Communications,23,-3.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,18,New York,31,0,0,0,1,20.0,Hans E. Vestberg,www.verizon.com,VZ,211872.0,High,Large,2,0.7423910177114694,0.006457016135913138
JPMorgan Chase,24,-5.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,6,New York,31,0,0,0,1,19.0,James Dimon,www.jpmorganchase.com,JPM,336469.0,High,Large,2,0.7423910177114694,0.006457016135913138
General Motors,25,-3.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,15,Detroit,21,0,0,1,1,22.0,Mary T. Barra,www.gm.com,GM,50156.0,High,Large,2,0.7423910177114694,0.006457016135913138
Centene,26,-2.0,-0.2247123121494677,-0.1958245921342562,-0.16708931456666024,9,St. Louis,23,0,0,1,1,24.0,Sarah M. London,www.centene.com,CNC,53429.0,High,Large,2,0.5830732651380099,0.22777980685148216
Meta Platforms,27,7.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,17,Menlo Park,3,0,1,0,1,34.0,Mark Zuckerberg,https://investor.fb.com,META,475718.0,High,Large,2,0.7423910177114694,0.006457016135913138
Comcast,28,-2.0,-0.2247123121494677,-0.1936651557266274,-0.16708931456666024,18,Philadelphia,35,0,0,0,1,26.0,Brian L. Roberts,www.comcastcorporation.com,CMCSA,185069.0,High,Large,2,0.7423910177114694,0.006457016135913138
Phillips 66,29,19.0,-0.2247123121494677,-0.19585535844975444,-0.17032339232159333,4,Houston,40,0,0,0,1,48.0,Mark E. Lashier,www.phillips66.com,PSX,41091.0,High,Small,0,0.352748799400483,-0.10984853975040282
